공포 확률,중립 확률,탐욕 확률,공포탐욕지수
0.0264,0.9371,0.0365,50.51
0.1406,0.6164,0.243,55.12
0.0661,0.8527,0.0813,50.76
0.0632,0.8882,0.0487,49.28
0.0295,0.9538,0.0167,49.36
0.0538,0.9177,0.0286,48.74
0.1947,0.5733,0.232,51.87
0.0305,0.0591,0.9104,93.99
0.0629,0.8828,0.0543,49.57
0.0679,0.8759,0.0562,49.41
0.0486,0.4648,0.4866,71.9
0.0329,0.9554,0.0117,48.94
0.0501,0.8369,0.113,53.15
0.0499,0.2876,0.6625,80.63
0.2121,0.6303,0.1576,47.28
0.2664,0.1699,0.5637,64.86
0.1701,0.7481,0.0818,45.59
0.2404,0.1626,0.5971,67.84
0.0637,0.8876,0.0487,49.25
0.075,0.855,0.0701,49.76
0.0586,0.1152,0.8261,88.37
0.0354,0.9502,0.0144,48.95
0.3752,0.3636,0.2612,44.3
0.0271,0.9158,0.0571,51.5
0.0379,0.9458,0.0163,48.92
0.0399,0.8796,0.0805,52.03
0.0862,0.8828,0.031,47.24
0.3868,0.5045,0.1088,36.1
0.268,0.1945,0.5374,63.47
0.088,0.8354,0.0766,49.43
0.0226,0.8511,0.1263,55.19
0.0301,0.1022,0.8677,91.88
0.0618,0.8712,0.067,50.26
0.0186,0.0698,0.9116,94.65
0.1735,0.7574,0.0692,44.79
0.1247,0.7665,0.1088,49.2
0.082,0.3537,0.5644,74.12
0.0388,0.9321,0.0291,49.52
0.2232,0.4331,0.3436,56.02
0.0354,0.9502,0.0144,48.95
0.0408,0.9255,0.0338,49.65
0.2526,0.4133,0.3341,54.08
0.0771,0.8953,0.0276,47.52
0.1374,0.5743,0.2883,57.54
0.2272,0.4638,0.309,54.09
0.0215,0.1201,0.8583,91.84
0.2586,0.3978,0.3436,54.25
0.3074,0.5828,0.1098,40.12
0.2315,0.5664,0.2022,48.54
0.0714,0.7959,0.1327,53.06
0.1184,0.8228,0.0588,47.02
0.0559,0.9257,0.0184,48.12
0.2562,0.4781,0.2657,50.48
0.0768,0.7935,0.1297,52.64
0.0431,0.9215,0.0353,49.61
0.0681,0.8502,0.0816,50.67
0.0364,0.0839,0.8798,92.17
0.0491,0.7246,0.2263,58.86
0.3941,0.4325,0.1734,38.96
0.241,0.274,0.485,62.2
0.0401,0.8585,0.1015,53.07
0.153,0.7487,0.0983,47.27
0.2584,0.4605,0.2811,51.14
0.0215,0.9544,0.0241,50.13
0.0194,0.9628,0.0178,49.92
0.034,0.9327,0.0333,49.96
0.2699,0.1921,0.538,63.41
0.0543,0.9251,0.0207,48.32
0.0538,0.9048,0.0414,49.38
0.1162,0.6013,0.2825,58.32
0.0296,0.9162,0.0542,51.23
0.0481,0.9252,0.0267,48.93
0.1744,0.548,0.2776,55.16
